path,country,id,year_enacted,year_updated,title,region,word_length
global_risk_data\constitutions_text\Sierra_Leone_2013.html,Republic of Sierra Leone,Sierra_Leone_2013,1991,2013.0,"Sierra Leone 1991 (reinst. 1996, rev. 2013)",Africa,44535.0
global_risk_data\constitutions_text\Singapore_2016.html,Republic of Singapore,Singapore_2016,1963,2016.0,Singapore 1963 (rev. 2016),Asia,48546.0
global_risk_data\constitutions_text\Slovakia_2017.html,Slovak Republic,Slovakia_2017,1992,2017.0,Slovakia 1992 (rev. 2017),Europe,20178.0
global_risk_data\constitutions_text\Slovenia_2016.html,Republic of Slovenia,Slovenia_2016,1991,2016.0,Slovenia 1991 (rev. 2016),Europe,10929.0
global_risk_data\constitutions_text\Socialist_Republic_of_Vietnam_2013.html,Socialist Republic of Viet Nam,Socialist_Republic_of_Vietnam_2013,1992,2013.0,Viet Nam 1992 (rev. 2013),Asia,11346.0
global_risk_data\constitutions_text\Solomon_Islands_2018.html,Solomon Islands,Solomon_Islands_2018,1978,2018.0,Solomon Islands 1978 (rev. 2018),Oceania,33789.0
global_risk_data\constitutions_text\Somalia_2012.html,Somali Republic,Somalia_2012,2012,,Somalia 2012,Africa,21725.0
global_risk_data\constitutions_text\South_Africa_2012.html,Republic of South Africa,South_Africa_2012,1996,2012.0,South Africa 1996 (rev. 2012),Africa,46055.0
global_risk_data\constitutions_text\South_Sudan_2013.html,Republic of South Sudan,South_Sudan_2013,2011,2013.0,South Sudan 2011 (rev. 2013),Africa,27236.0
global_risk_data\constitutions_text\Spain_2011.html,Kingdom of Spain,Spain_2011,1978,2011.0,Spain 1978 (rev. 2011),Europe,18150.0
global_risk_data\constitutions_text\Sri_Lanka_2015.html,Democratic Socialist Republic of Sri Lanka,Sri_Lanka_2015,1978,2015.0,Sri Lanka 1978 (rev. 2015),Asia,64135.0
global_risk_data\constitutions_text\St_Kitts_and_Nevis_1983.html,Saint Kitts and Nevis,St_Kitts_and_Nevis_1983,1983,,Saint Kitts and Nevis 1983,Americas,46393.0
global_risk_data\constitutions_text\St_Lucia_1978.html,Saint Lucia,St_Lucia_1978,1978,,Saint Lucia 1978,Americas,40034.0
global_risk_data\constitutions_text\St_Vincent_and_the_Grenadines_1979.html,Saint Vincent and the Grenadines,St_Vincent_and_the_Grenadines_1979,1979,,Saint Vincent and the Grenadines 1979,Americas,32972.0
global_risk_data\constitutions_text\Sudan_2019.html,Republic of the Sudan,Sudan_2019,2019,,Sudan 2019,Africa,7904.0
global_risk_data\constitutions_text\Surinam_1992.html,Republic of Suriname,Surinam_1992,1987,1992.0,Suriname 1987 (rev. 1992),Americas,12394.0
global_risk_data\constitutions_text\Swaziland_2005.html,Kingdom of Eswatini,Swaziland_2005,2005,,Eswatini 2005,Africa,48632.0
global_risk_data\constitutions_text\Sweden_2012.html,Kingdom of Sweden,Sweden_2012,1974,2012.0,Sweden 1974 (rev. 2012),Europe,60090.0
global_risk_data\constitutions_text\Switzerland_2014.html,Swiss Confederation,Switzerland_2014,1999,2014.0,Switzerland 1999 (rev. 2014),Europe,19817.0
global_risk_data\constitutions_text\Syria_2012.html,Syrian Arab Republic,Syria_2012,2012,,Syrian Arab Republic 2012,Asia,8186.0
global_risk_data\constitutions_text\Taiwan_2005.html,Republic of China,Taiwan_2005,1947,2005.0,Taiwan (Republic of China) 1947 (rev. 2005),Asia,11241.0
global_risk_data\constitutions_text\Tajikistan_2016.html,Republic of Tajikistan,Tajikistan_2016,1994,2016.0,Tajikistan 1994 (rev. 2016),Asia,8258.0
global_risk_data\constitutions_text\Tanzania_2005.html,United Republic of Tanzania,Tanzania_2005,1977,2005.0,Tanzania (United Republic of) 1977 (rev. 2005),Africa,35376.0
global_risk_data\constitutions_text\Thailand_2017.html,Kingdom of Thailand,Thailand_2017,2017,,Thailand 2017,Asia,44120.0
global_risk_data\constitutions_text\Togo_2007.html,Togolese Republic,Togo_2007,1992,2007.0,Togo 1992 (rev. 2007),Africa,10494.0
